Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
HEROMOTOCO,EQ,2017-06-27,3660.1,3676.0,3711.7,3636.6,3700.0,3695.2,3671.43,365879,1343297828.15,44560,262472,71.74,0.9589901915248111,Slight positive
HEROMOTOCO,EQ,2017-06-28,3695.2,3681.0,3723.6,3667.05,3688.4,3688.45,3698.43,496312,1835577487.45,40066,364249,73.39,-0.18266940896297656,Slight or No change
HEROMOTOCO,EQ,2017-06-29,3688.45,3700.0,3735.95,3682.0,3724.5,3716.35,3706.91,384888,1426746550.25,31569,198187,51.49,0.7564152963982274,Slight positive
HEROMOTOCO,EQ,2017-06-30,3716.35,3690.0,3714.75,3665.0,3685.4,3701.35,3687.49,205581,758078830.45,20124,119182,57.97,-0.40362183325036716,Slight or No change
HEROMOTOCO,EQ,2017-07-03,3701.35,3688.0,3785.25,3671.4,3770.1,3776.1,3740.38,249649,933782078.1,17602,96380,38.61,2.0195334134842646,Positive
HEROMOTOCO,EQ,2017-07-04,3776.1,3804.05,3804.05,3693.65,3700.0,3703.35,3726.19,474327,1767434870.55,31147,171046,36.06,-1.9265909271470538,Negative
HEROMOTOCO,EQ,2017-07-05,3703.35,3700.5,3717.7,3696.8,3701.0,3709.75,3708.94,142509,528557277.0,13756,63523,44.57,0.17281650397613646,Slight or No change
HEROMOTOCO,EQ,2017-07-06,3709.75,3716.05,3745.0,3708.0,3722.8,3725.35,3733.53,161483,602901500.0,17899,83270,51.57,0.42051351169216655,Slight or No change
HEROMOTOCO,EQ,2017-07-07,3725.35,3720.0,3722.7,3673.0,3675.05,3681.65,3690.33,182590,673818223.45,27176,108288,59.31,-1.173044143503288,Negative
HEROMOTOCO,EQ,2017-07-10,3681.65,3699.55,3740.0,3687.0,3725.2,3731.0,3724.71,43195,160888828.4,3510,20054,46.43,1.3404315999619776,Positive
HEROMOTOCO,EQ,2017-07-11,3731.0,3735.0,3757.3,3735.0,3745.5,3748.3,3751.06,227102,851873451.55,26279,174117,76.67,0.46368265880460946,Slight or No change
HEROMOTOCO,EQ,2017-07-12,3748.3,3758.95,3776.95,3707.65,3721.2,3718.75,3735.47,232681,869171938.6,23536,158417,68.08,-0.7883573886828699,Slight negative
HEROMOTOCO,EQ,2017-07-13,3718.75,3732.2,3768.0,3731.1,3749.95,3750.95,3757.93,384727,1445775565.05,16231,304453,79.13,0.8658823529411608,Slight positive
HEROMOTOCO,EQ,2017-07-14,3750.95,3765.0,3796.0,3738.0,3752.0,3758.05,3767.92,187230,705468246.2,14517,101149,54.02,0.1892853810368189,Slight or No change
HEROMOTOCO,EQ,2017-07-17,3758.05,3758.05,3785.0,3738.05,3765.0,3764.35,3761.76,131553,494871344.15,8933,72510,55.12,0.1676401325155341,Slight or No change
HEROMOTOCO,EQ,2017-07-18,3764.35,3755.0,3799.0,3755.0,3780.0,3783.95,3781.79,224796,850131063.55,19334,160601,71.44,0.5206742199848513,Slight positive
HEROMOTOCO,EQ,2017-07-19,3783.95,3787.0,3795.0,3757.7,3785.0,3770.65,3772.67,464119,1750968158.05,45055,400082,86.2,-0.3514845597853977,Slight or No change
